Date,Open,High,Low,Close,Adj Close,Volume
3/11/2010,0.6425,0.6605,0.6425,0.6605,0.16067,3702000
3/12/2010,0.661,0.665333,0.644167,0.644167,0.156697,4548000
3/15/2010,0.631167,0.638,0.614167,0.623833,0.151751,534000
3/16/2010,0.631667,0.675167,0.630667,0.6745,0.164076,1260000
3/17/2010,0.7,0.707,0.686167,0.698833,0.169995,2610000
3/18/2010,0.698833,0.700833,0.672167,0.681833,0.16586,1584000
3/19/2010,0.673333,0.673667,0.639667,0.650833,0.158319,1596000
3/22/2010,0.638,0.700333,0.634333,0.697833,0.169752,3804000
3/23/2010,0.707667,0.7455,0.707333,0.742833,0.180698,6114000
3/24/2010,0.735667,0.735667,0.698,0.701667,0.170684,2034000
3/25/2010,0.732,0.7425,0.6975,0.698167,0.169833,2034000
3/26/2010,0.716833,0.7205,0.6735,0.687167,0.167157,2322000
3/29/2010,0.709333,0.713667,0.700667,0.705667,0.171657,1380000
3/30/2010,0.716667,0.726667,0.698167,0.719167,0.174941,1920000
3/31/2010,0.724667,0.73,0.704167,0.708,0.172225,1080000
4/1/2010,0.727833,0.757167,0.6985,0.710333,0.172792,1644000
4/5/2010,0.737333,0.773333,0.690167,0.7705,0.187428,1500000
4/6/2010,0.755833,0.769667,0.747167,0.758833,0.18459,1998000
4/7/2010,0.762833,0.782167,0.741833,0.766333,0.186415,3414000
4/8/2010,0.7525,0.7525,0.714667,0.739167,0.179806,4470000
4/9/2010,0.747667,0.759167,0.730667,0.758833,0.18459,1254000
4/12/2010,0.770333,0.7975,0.761167,0.777833,0.189212,2400000
4/13/2010,0.782167,0.796667,0.772167,0.792833,0.192861,2904000
4/14/2010,0.842,0.897667,0.842,0.894833,0.217673,6504000
4/15/2010,0.910833,0.923167,0.892333,0.9025,0.219538,12666000
4/16/2010,0.891667,0.891667,0.8285,0.869167,0.21143,4452000
4/19/2010,0.84,0.8655,0.791833,0.839833,0.204294,5712000
4/20/2010,0.864333,0.886667,0.858333,0.8805,0.214186,2922000
4/21/2010,0.886667,0.906167,0.814,0.853,0.207497,5772000
4/22/2010,0.836333,0.904,0.797333,0.901167,0.219214,6594000
4/23/2010,0.916,0.916,0.868667,0.905167,0.220187,3600000
4/26/2010,0.913333,0.938,0.906833,0.913167,0.222133,3846000
4/27/2010,0.875,0.9065,0.816,0.818667,0.199145,5112000
4/28/2010,0.835333,0.879167,0.7935,0.835,0.203118,6864000
4/29/2010,0.835333,0.866667,0.8255,0.863667,0.210092,5838000
4/30/2010,0.841667,0.841667,0.745333,0.747167,0.181752,10104000
5/3/2010,0.757667,0.814,0.757667,0.802167,0.195131,4926000
5/4/2010,0.7855,0.7855,0.661333,0.696,0.169306,19164000
5/5/2010,0.685,0.705833,0.6415,0.673667,0.163873,7920000
5/6/2010,0.666667,0.695667,0.416667,0.616333,0.149926,17448000
5/7/2010,0.6,0.618167,0.514333,0.578833,0.140804,12372000
5/10/2010,0.68,0.682667,0.646833,0.68,0.165414,7206000
5/11/2010,0.643667,0.7025,0.6355,0.667,0.162251,27720000
5/12/2010,0.678,0.724667,0.678,0.721167,0.175428,42330000
5/13/2010,0.701833,0.730833,0.6555,0.664667,0.161684,28992000
5/14/2010,0.649,0.649,0.567667,0.604,0.146926,15846000
5/17/2010,0.591167,0.634833,0.57,0.629,0.153008,19140000
5/18/2010,0.6445,0.655333,0.569167,0.577667,0.140521,16128000
5/19/2010,0.574833,0.604167,0.546667,0.586833,0.14275,21306000
5/20/2010,0.541667,0.576167,0.504333,0.539,0.131115,10638000
5/21/2010,0.516667,0.599,0.503833,0.574167,0.139669,11220000
5/24/2010,0.562833,0.584833,0.540333,0.540333,0.131439,10944000
5/25/2010,0.494333,0.552667,0.475,0.5525,0.134399,10818000
5/26/2010,0.580333,0.603667,0.5465,0.549667,0.13371,14250000
5/27/2010,0.592333,0.634167,0.584,0.633333,0.154062,10578000
5/28/2010,0.640667,0.640667,0.577167,0.602833,0.146642,9288000
6/1/2010,0.599,0.621167,0.561833,0.561833,0.136669,4530000
6/2/2010,0.581833,0.6225,0.564167,0.621833,0.151264,11094000
6/3/2010,0.633,0.653,0.615,0.645667,0.157062,9102000
6/4/2010,0.629,0.6305,0.5525,0.561667,0.136629,13650000
6/7/2010,0.569833,0.578,0.495,0.499,0.121384,18312000
6/8/2010,0.501833,0.504167,0.456833,0.4935,0.120047,12504000
6/9/2010,0.507,0.5385,0.4775,0.483667,0.117655,8634000
6/10/2010,0.509333,0.538667,0.5015,0.536833,0.130588,9504000
6/11/2010,0.518,0.562167,0.513333,0.559833,0.136182,6510000
6/14/2010,0.586833,0.6025,0.569167,0.5705,0.138777,6924000
6/15/2010,0.583333,0.669667,0.583333,0.6655,0.161887,14508000
6/16/2010,0.651333,0.689667,0.634,0.674667,0.164116,14226000
6/17/2010,0.688,0.6895,0.636167,0.670333,0.163062,8724000
6/18/2010,0.6735,0.6825,0.656667,0.665833,0.161968,4656000
6/21/2010,0.695667,0.713167,0.636,0.648167,0.15767,9054000
6/22/2010,0.651333,0.677,0.608333,0.614,0.149359,9888000
6/23/2010,0.62,0.6425,0.5865,0.619333,0.150656,8076000
6/24/2010,0.6085,0.610667,0.557833,0.565333,0.13752,11754000
6/25/2010,0.571833,0.5735,0.536667,0.567167,0.137966,8718000
6/28/2010,0.5615,0.592333,0.552833,0.573833,0.139588,4248000
6/29/2010,0.544667,0.544667,0.485833,0.495667,0.120574,23970000
6/30/2010,0.4985,0.514667,0.467667,0.471667,0.114736,10842000
7/1/2010,0.475,0.486333,0.4345,0.4735,0.115181,10716000
7/2/2010,0.4745,0.4815,0.444333,0.467667,0.113763,7032000
7/6/2010,0.495667,0.505,0.454833,0.466833,0.11356,24060000
7/7/2010,0.467,0.541,0.467,0.540167,0.131399,13650000
7/8/2010,0.560167,0.560167,0.510667,0.536167,0.130426,14706000
7/9/2010,0.5385,0.556333,0.527167,0.554667,0.134926,7512000
7/12/2010,0.557333,0.582167,0.551,0.575833,0.140075,8718000
7/13/2010,0.596667,0.618667,0.586333,0.612833,0.149075,11688000
7/14/2010,0.64,0.646667,0.595333,0.607167,0.147697,16902000
7/15/2010,0.599,0.605667,0.568,0.599333,0.145791,11166000
7/16/2010,0.588333,0.592333,0.541333,0.542333,0.131925,7878000
7/19/2010,0.5595,0.5855,0.547167,0.583333,0.141899,7908000
7/20/2010,0.5395,0.585167,0.519667,0.585,0.142304,14142000
7/21/2010,0.596167,0.596167,0.545667,0.5495,0.133669,10890000
7/22/2010,0.558333,0.611667,0.558333,0.599833,0.145913,10308000
7/23/2010,0.595,0.6155,0.579833,0.611333,0.14871,7092000
7/26/2010,0.611667,0.636833,0.593167,0.633333,0.154062,8622000
7/27/2010,0.647167,0.647167,0.612333,0.620333,0.150899,10470000
7/28/2010,0.6125,0.6265,0.578333,0.588167,0.143075,17106000
7/29/2010,0.594833,0.596,0.530167,0.5525,0.134399,24666000
7/30/2010,0.539667,0.545667,0.507667,0.535167,0.130182,13908000
8/2/2010,0.562167,0.571667,0.542167,0.5635,0.137074,19812000
8/3/2010,0.563667,0.564833,0.532333,0.5465,0.132939,11742000
8/4/2010,0.548333,0.564167,0.532333,0.5625,0.136831,8508000
8/5/2010,0.559333,0.567,0.543333,0.549,0.133547,7224000
8/6/2010,0.538833,0.561,0.529167,0.549667,0.13371,7914000
8/9/2010,0.553667,0.566667,0.54,0.558667,0.135899,7584000
8/10/2010,0.541667,0.541667,0.500833,0.515833,0.125479,18732000
8/11/2010,0.482667,0.483167,0.440667,0.453667,0.110357,30720000
8/12/2010,0.4215,0.4415,0.406667,0.4355,0.105938,27768000
8/13/2010,0.437667,0.4495,0.4215,0.422333,0.102735,9888000
8/16/2010,0.418333,0.439833,0.408333,0.426667,0.103789,15528000
8/17/2010,0.443167,0.458,0.4335,0.443,0.107762,14430000
8/18/2010,0.447,0.4645,0.438167,0.457833,0.11137,10218000
8/19/2010,0.4525,0.459333,0.428833,0.434833,0.105775,11196000
8/20/2010,0.438833,0.452833,0.430667,0.439833,0.106992,8682000
8/23/2010,0.452333,0.454333,0.423833,0.424333,0.103221,15390000
8/24/2010,0.407333,0.416667,0.393167,0.402833,0.097991,13998000
8/25/2010,0.397167,0.420167,0.3825,0.415,0.100951,19578000
8/26/2010,0.422333,0.424667,0.387,0.391333,0.095194,15816000
8/27/2010,0.403167,0.419167,0.371333,0.414667,0.10087,22824000
8/30/2010,0.408667,0.414167,0.384,0.384667,0.093572,11874000
8/31/2010,0.381667,0.3895,0.354833,0.360167,0.087613,17046000
9/1/2010,0.374833,0.4055,0.374833,0.393667,0.095762,21294000
9/2/2010,0.400333,0.419833,0.392333,0.419833,0.102127,32310000
9/3/2010,0.436333,0.4475,0.416667,0.438,0.106546,39972000
9/7/2010,0.434167,0.4375,0.41,0.414333,0.100789,24540000
9/8/2010,0.416167,0.418833,0.395833,0.4075,0.099127,55176000
9/9/2010,0.422833,0.423833,0.404333,0.409167,0.099532,16536000
9/10/2010,0.4055,0.410667,0.375667,0.393167,0.09564,50568000
9/13/2010,0.405,0.433167,0.4045,0.432167,0.105127,34164000
9/14/2010,0.428333,0.461667,0.416333,0.453333,0.110276,29940000
9/15/2010,0.444,0.450833,0.4315,0.449833,0.109424,20400000
9/16/2010,0.440833,0.461,0.438,0.459333,0.111735,15978000
9/17/2010,0.466,0.468,0.4525,0.459667,0.111816,14418000
9/20/2010,0.459833,0.467833,0.445833,0.465167,0.113154,39192000
9/21/2010,0.4635,0.474167,0.457667,0.462,0.112384,18630000
9/22/2010,0.456,0.4605,0.4325,0.442833,0.10819,25320000
9/23/2010,0.4305,0.474333,0.422167,0.451333,0.110267,21150000
9/24/2010,0.471667,0.507667,0.471667,0.505,0.123378,25266000
9/27/2010,0.508833,0.510167,0.4905,0.496333,0.121261,20460000
9/28/2010,0.502333,0.522333,0.481833,0.5195,0.126921,25440000
9/29/2010,0.51,0.542667,0.51,0.531,0.12973,31692000
9/30/2010,0.539333,0.55,0.504833,0.5195,0.126921,36396000
10/1/2010,0.532167,0.5355,0.502167,0.514,0.125577,24258000
10/4/2010,0.511,0.511333,0.475833,0.493,0.120446,25332000
10/5/2010,0.503333,0.5285,0.503333,0.523833,0.127979,24222000
10/6/2010,0.523333,0.524167,0.4875,0.505833,0.123582,22194000
10/7/2010,0.504667,0.513167,0.488333,0.506,0.123622,20838000
10/8/2010,0.5025,0.524833,0.485833,0.5225,0.127654,29346000
10/11/2010,0.5225,0.547333,0.5225,0.532,0.129975,20370000
10/12/2010,0.525333,0.55,0.516,0.543333,0.132743,18330000
10/13/2010,0.5485,0.554167,0.530667,0.545833,0.133354,27384000
10/14/2010,0.546833,0.556833,0.531833,0.541333,0.132255,19338000
10/15/2010,0.552667,0.558333,0.528833,0.553667,0.135268,22374000
10/18/2010,0.550833,0.550833,0.527333,0.540833,0.132133,21282000
10/19/2010,0.523833,0.546333,0.501167,0.518167,0.126595,37842000
10/20/2010,0.518667,0.534833,0.508333,0.526833,0.128712,24378000
10/21/2010,0.5295,0.532167,0.504333,0.519,0.126799,22062000
10/22/2010,0.519,0.552333,0.519,0.549833,0.134331,29832000
10/25/2010,0.558333,0.577333,0.558333,0.567833,0.138729,12414000
10/26/2010,0.559833,0.569167,0.541833,0.560667,0.136978,10962000
