Date,Open,High,Low,Close,Adj Close,Volume
12/16/2010,1.509375,1.547292,1.5,1.539271,1.535424,21532800
12/17/2010,1.544167,1.557292,1.535729,1.543958,1.540099,15302400
12/20/2010,1.552083,1.564583,1.514583,1.548125,1.544256,31536000
12/21/2010,1.566042,1.574375,1.554063,1.573646,1.569713,8400000
12/22/2010,1.573854,1.581771,1.567292,1.575313,1.571376,10800000
12/23/2010,1.567083,1.573438,1.553125,1.563333,1.559426,9216000
12/27/2010,1.550729,1.572917,1.517708,1.563958,1.56005,16041600
12/28/2010,1.575625,1.576979,1.546563,1.557188,1.553296,15868800
12/29/2010,1.570938,1.575208,1.5625,1.566458,1.562543,11366400
12/30/2010,1.567083,1.5675,1.546875,1.554688,1.550803,7190400
12/31/2010,1.55125,1.55125,1.517604,1.540417,1.536567,12182400
1/3/2011,1.581354,1.641771,1.581146,1.61,1.605977,33379200
1/4/2011,1.630208,1.630625,1.576771,1.6075,1.603483,32880000
1/5/2011,1.591563,1.648125,1.589479,1.647396,1.643279,30720000
1/6/2011,1.653229,1.666146,1.643021,1.662292,1.658138,26131200
1/7/2011,1.670729,1.673542,1.610313,1.658438,1.654294,38102400
1/10/2011,1.645833,1.685521,1.634896,1.677083,1.672892,21513600
1/11/2011,1.6975,1.701146,1.667604,1.684792,1.680582,27484800
1/12/2011,1.708125,1.72,1.688438,1.718958,1.714662,33523200
1/13/2011,1.725104,1.734896,1.707813,1.724375,1.720066,32860800
1/14/2011,1.723542,1.762292,1.712292,1.761771,1.757368,15321600
1/18/2011,1.716771,1.78125,1.713854,1.775833,1.771395,34531200
1/19/2011,1.784896,1.784896,1.698542,1.716354,1.712065,37488000
1/20/2011,1.695833,1.700104,1.639583,1.677813,1.67362,47366400
1/21/2011,1.702292,1.7125,1.638333,1.639479,1.635382,26208000
1/24/2011,1.648646,1.708646,1.639896,1.707188,1.702922,21609600
1/25/2011,1.684167,1.715417,1.671875,1.713125,1.708844,23961600
1/26/2011,1.724167,1.755833,1.708229,1.739688,1.73534,24844800
1/27/2011,1.760104,1.788021,1.750521,1.773229,1.768798,27840000
1/28/2011,1.773854,1.777188,1.615938,1.639479,1.635382,63638400
1/31/2011,1.645938,1.67625,1.609375,1.66375,1.659592,39993600
2/1/2011,1.702083,1.767708,1.695625,1.756146,1.751757,50860800
2/2/2011,1.746875,1.76625,1.737188,1.748229,1.74386,23030400
2/3/2011,1.738542,1.764479,1.696563,1.755,1.750614,32889600
2/4/2011,1.759479,1.789583,1.743542,1.786667,1.782202,33984000
2/7/2011,1.797813,1.840521,1.788958,1.812604,1.808074,25948800
2/8/2011,1.813229,1.85125,1.804167,1.85125,1.846624,33494400
2/9/2011,1.838958,1.855208,1.821979,1.84,1.835402,32601600
2/10/2011,1.809375,1.852708,1.796875,1.848958,1.844337,35520000
2/11/2011,1.831875,1.888021,1.822917,1.886875,1.88216,23635200
2/14/2011,1.886458,1.9075,1.881458,1.89875,1.894005,14908800
2/15/2011,1.888229,1.898021,1.866875,1.893854,1.889121,23308800
2/16/2011,1.90875,1.944063,1.905938,1.928854,1.924034,35280000
2/17/2011,1.900417,1.9375,1.896875,1.927188,1.922372,21686400
2/18/2011,1.928333,1.936042,1.893438,1.91625,1.911461,32044800
2/22/2011,1.839792,1.854167,1.739583,1.7475,1.743133,60460800
2/23/2011,1.746979,1.765729,1.665208,1.704375,1.700116,48566400
2/24/2011,1.716354,1.745833,1.666667,1.728646,1.724326,80131200
2/25/2011,1.760833,1.810208,1.755833,1.802708,1.798203,27086400
2/28/2011,1.823333,1.84125,1.783125,1.815833,1.811295,26078400
3/1/2011,1.840208,1.840208,1.713542,1.728542,1.724222,30724800
3/2/2011,1.725208,1.788542,1.72375,1.752917,1.748536,28526400
3/3/2011,1.803958,1.867083,1.80375,1.8575,1.852858,33206400
3/4/2011,1.858333,1.858333,1.79375,1.83,1.825427,27355200
3/7/2011,1.852917,1.856042,1.707917,1.757083,1.752692,34392000
3/8/2011,1.747083,1.800833,1.71875,1.775417,1.77098,32193600
3/9/2011,1.760833,1.763125,1.712708,1.739583,1.735236,24264000
3/10/2011,1.677917,1.692708,1.638958,1.66,1.655851,43723200
3/11/2011,1.632292,1.701875,1.629792,1.687708,1.68349,25636800
3/14/2011,1.660208,1.697917,1.633542,1.67125,1.667073,19728000
3/15/2011,1.5225,1.630417,1.507292,1.602917,1.598911,46963200
