Date,Open,High,Low,Close,Adj Close,Volume
3/11/2010,9.6375,9.9075,9.6375,9.9075,9.293831,246800
3/12/2010,9.915,9.98,9.6625,9.6625,9.064009,303200
3/15/2010,9.4675,9.57,9.2125,9.3575,8.777899,35600
3/16/2010,9.475,10.1275,9.46,10.1175,9.490823,84000
3/17/2010,10.5,10.605,10.2925,10.4825,9.833215,174000
3/18/2010,10.4825,10.5125,10.0825,10.2275,9.594009,105600
3/19/2010,10.1,10.105,9.595,9.7625,9.157812,106400
3/22/2010,9.57,10.505,9.515,10.4675,9.819144,253600
3/23/2010,10.615,11.1825,10.61,11.1425,10.452335,407600
3/24/2010,11.035,11.035,10.47,10.525,9.873082,135600
3/25/2010,10.98,11.1375,10.4625,10.4725,9.823834,135600
3/26/2010,10.7525,10.8075,10.1025,10.3075,9.669053,154800
3/29/2010,10.64,10.705,10.51,10.585,9.929367,92000
3/30/2010,10.75,10.9,10.4725,10.7875,10.119326,128000
3/31/2010,10.87,10.95,10.5625,10.62,9.962197,72000
4/1/2010,10.9175,11.3575,10.4775,10.655,9.99503,109600
4/5/2010,11.06,11.6,10.3525,11.5575,10.841629,100000
4/6/2010,11.3375,11.545,11.2075,11.3825,10.67747,133200
4/7/2010,11.4425,11.7325,11.1275,11.495,10.782999,227600
4/8/2010,11.2875,11.2875,10.72,11.0875,10.40074,298000
4/9/2010,11.215,11.3875,10.96,11.3825,10.67747,83600
4/12/2010,11.555,11.9625,11.4175,11.6675,10.944818,160000
4/13/2010,11.7325,11.95,11.5825,11.8925,11.155878,193600
4/14/2010,12.63,13.465,12.63,13.4225,12.59111,433600
4/15/2010,13.6625,13.8475,13.385,13.5375,12.698989,844400
4/16/2010,13.375,13.375,12.4275,13.0375,12.22996,296800
4/19/2010,12.6,12.9825,11.8775,12.5975,11.817212,380800
4/20/2010,12.965,13.3,12.875,13.2075,12.38943,194800
4/21/2010,13.3,13.5925,12.21,12.795,12.002479,384800
4/22/2010,12.545,13.56,11.96,13.5175,12.680229,439600
